Region,Year_Bin,Child_Labor_Rate_Percent
Global,2000-2004,13.56
Global,2005-2009,10.9
Asia and the Pacific,2010-2014,7.35
Other,2010-2014,20.32
Middle East and North Africa,2010-2014,12.7
Sub-Saharan Africa,2010-2014,32.17
Latin America and Caribbean,2010-2014,10.93
Global,2010-2014,7.98
Latin America and Caribbean,2015-2019,13.01
Other,2015-2019,19.4
Global,2015-2019,7.1
Global,2020-2024,6.3
Latin America and Caribbean,2020-2024,12.08
Europe and Central Asia,2020-2024,3.69
Middle East and North Africa,2020-2024,13.82
Asia and the Pacific,2020-2024,7.08
Sub-Saharan Africa,2020-2024,27.81
